d4, i0 i1, p2 p2, g3
d5, i0 i1, p2 p2, g3
d12, i6 i7, p8, g9 g10 g11
d15, , , g13 g14
d18, i16, p17, 
d21, i19, p8, g20
d23, , , g22
d25, , , g24
d27, , p26, 
d28, , p8, g20
d30, , p29, 
d33, , p31 p32, 
d35, , , g34
d39, , , g36 g37 g38
d41, i40, , 
d42, , , g22
d44, , p43, 
d46, , , g22 g45
d48, , , g47 g13
d51, i49, p50, 
d53, , , g52
d55, , , g54
d56, , , g20 g45
d58, i57, , 
d59, , , g45
d62, , p29, g60 g61
d64, , , g63
d69, i65 i16 i66, p17, g67 g68 g34
d72, i65, p26 p70, g71
d74, i73, , 
d76, , , g75
d80, , p77, g78 g22 g79
d83, i81, p82, 
d85, i84, , 
d88, i86, p87, 
d92, i7, p89, g90 g91
d94, , , g93
d96, , , g95
d99, i97, p98, 
d101, , , g100
d102, , , g100 g45
d105, i103, p104, 
d107, , p106, 
d109, , , g108
d111, , , g110
d113, , p112, 
d115, i114, , 
d116, , p77, 
d117, i114, , 
d119, , p112, g118
d120, , p112, 
d122, , , g121
d126, i123, p124, g125
d127, , p124 p112, 
d129, i128, , 
d130, , p112, 
d133, , , g131 g132
d135, , , g134
d137, , , g136
d139, , , g138
d140, , , g136
d142, , , g141
d144, , , g143
d145, , , g143
d146, , , g143
d147, , , g143
d148, , , g143
d149, , , g143
d150, , , g143
d151, , , g143
d152, , , g143
d153, , , g143
d154, , , g143
d155, , , g143
d156, , , g20 g22
d159, i157, p8, g90 g54 g158
d160, , p82, 
d162, i114, p161, 
d163, i157, p8, g90 g54 g158
d165, , , g164 g3
d166, , , g20
d167, , p29, g20
d168, i157, p8, g90 g54 g158
d170, , p169, 
d171, i157, p8, g90 g54 g158
d174, , , g172 g173
d176, i175, p82, 
d177, , p77, 
d179, i175, , g178
d181, , , g180
d182, , p43, 
d188, i183, , g184 g185 g186 g187
d193, i183, , g189 g52 g190 g187 g191 g184 g192
d194, , p106, 
d197, , p195, g196
d198, i6, , 
d199, , , g22
d202, , , g200 g201
d204, , p203, 
d208, i205, p206, g90 g45 g22 g207 g79
d209, , , g200
d210, , p203, 
