0;Advanced Microwave Scanning Radiometer-EOS;Earth Remote Sensing Instruments>Passive Remote Sensing>Spectrometers/Radiometers>Imaging Spectrometers/Radiometers
1;Moderate-Resolution Imaging Spectroradiometer;Earth Remote Sensing Instruments>Passive Remote Sensing>Spectrometers/Radiometers>Imaging Spectrometers/Radiometers
2;Earth Observing System;Earth Observation Satellites
3;oceans>ocean Temperature>sea Surface Temperature
4;GHRSST Level 4 RTO Terra MODIS-AMSRE Day North America Regional Blended Sea Surface Temperature Analysis
5;GHRSST Level 4 RTO Terra MODIS-AMSRE Night North America Regional Blended Sea Surface Temperature Analysis
6;Computer;In Situ/Laboratory Instruments>Data Analysis>Environmental Modeling
7;BATHYTHERMOGRAPHS;In Situ/Laboratory Instruments>Profilers/Sounders
8;SHIPS;In Situ Ocean-based Platforms
9;oceans>ocean Circulation>fronts
10;oceans>ocean Circulation>water Masses
11;oceans>sea Ice>ice Types
12;Computer Oceanographic Atlas of Newfoundland Basin and Labrador Sea
13;biosphere>ecosystems>terrestrial Ecosystems>forests>boreal Forest/tiaga
14;biosphere>ecosystems>freshwater Ecosystems>lake/pond
15;Inter-disciplinary Forest Ecosystem Research (InFER), Newfoundland, Canada
16;Thematic Mapper;Earth Remote Sensing Instruments>Passive Remote Sensing>Spectrometers/Radiometers>Imaging Spectrometers/Radiometers
17;LANDSAT;Earth Observation Satellites
18;LANDSAT 5 Thematic Mapper Imagery from SEIDAM, British Columbia, Canada
19;GRAB SAMPLERS;In Situ/Laboratory Instruments>Samplers>Grabbers/Traps/Collectors
20;oceans>salinity/density>salinity
21;Marine Chemistry Data from the Northwest Atlantic and Maritimes Region of Canada
22;oceans>salinity/density>density
23;Provincial Forest Inventory, Newfoundland and Labrador, Canada
24;cryosphere>snow/ice>snow Cover
25;Snow Survey Database for New Brunswick and the Saint John River Basin in Canada
26;POLAR;Solar/Space Observation Satellites
27;Surface Synoptic Reports for Various Locations in the Canadian High Arctic
28;Ocean Current Data from the Canadian East Coast and Eastern Arctic, 1960 to the present
29;AERIAL PHOTOGRAPHS;Maps/Charts/Photographs
30;Petawawa National Forestry Institute (PNFI) High-Resolution Imagery Project 88-220, Canada
31;Environmental Satellite;Earth Observation Satellites
32;NOAA Geostationary Operational Environmental Satellites;Earth Observation Satellites
33;Water Resources Data - Climate and Streamflow Data, Newfoundland and Labrador, Canada
34;biosphere>vegetation>vegetation Cover
35;A Nature Characterization Map of Flanders
